trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
322,False,"{'a': 0.7246981903299029, 'e': 0.9486043869104273}",25,0,-117.79558842278918,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
323,False,"{'a': 0.7239738543679153, 'e': 0.9482874482599637}",20,0,-59.92678307067238,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
324,False,"{'a': 0.7232502423798425, 'e': 0.9479695613221308}",20,0,-211.97522065262027,"{0: 8, 1: 2, 2: 5, 3: 2, 4: 3}",0
325,False,"{'a': 0.7225273536420722, 'e': 0.9476507264148157}",20,0,-26.132308171744132,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
326,False,"{'a': 0.7218051874317158, 'e': 0.9473309438568531}",25,0,-138.23972014012065,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 2}",0
327,False,"{'a': 0.721083743026607, 'e': 0.9470102139680256}",25,0,-34.50074548528009,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
328,False,"{'a': 0.7203630197053014, 'e': 0.9466885370690631}",20,0,-75.26490938538016,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
329,False,"{'a': 0.7196430167470754, 'e': 0.9463659134816423}",25,0,-276.7524795483148,"{0: 9, 1: 4, 2: 5, 3: 3, 4: 4}",0
330,False,"{'a': 0.7189237334319262, 'e': 0.946042343528387}",20,1,-85.58288933068013,"{0: 9, 1: 5, 2: 4, 3: 0, 4: 1}",1
331,False,"{'a': 0.7182051690405703, 'e': 0.9457178275328669}",20,0,-161.941961686621,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
332,False,"{'a': 0.7174873228544433, 'e': 0.9453923658195982}",20,0,-175.26629526902147,"{0: 13, 1: 2, 2: 0, 3: 1, 4: 4}",0
333,False,"{'a': 0.716770194155699, 'e': 0.9450659587140423}",20,0,-14.375052061519083,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
334,False,"{'a': 0.7160537822272085, 'e': 0.9447386065426066}",20,0,-102.29106126342973,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
